Rank	Word	PoS	Collins	Tag	Definition
137	state	n	5	cet4 cet6 ky zk gk	n. 情形；国家；州
175	might	v	1	cet4 ky ielts zk gk	n. 力量；势力；威力
178	part	n	3	cet4 ky ielts zk gk	n. 部分；角色；零件
180	against	i	5	cet4 ky zk gk	prep. 反对，违反；靠；倚；防备
191	system	n	5	cet4 cet6 ky toefl ielts gk	n. 系统；制度，体制；方法
194	program	n	4	cet4 cet6 ielts	n. 程序；计划；大纲
201	government	n	5	cet4 cet6 ky ielts zk gk	n. 政府；管辖；政体
212	point	n	5	cet4 cet6 ky ielts zk gk	n. 要点；尖端；得分；标点
217	happen	v	5	cet4 ky zk gk	vi. 发生；碰巧；偶然遇到
231	area	n	5	cet4 ky ielts zk gk	n. 面积；区域，地区；范围
232	national	j	5	cet4 cet6 ky ielts zk gk	adj. 国家的；国民的；民族的；国立的
236	fact	n	5	cet4 ky zk gk	n. 事实；实际；真相
247	business	n	5	cet4 cet6 ky ielts zk gk	n. 商业；生意；交易；事情
248	issue	n	5	cet4 cet6 ky toefl ielts	n. 流出；发行物；问题；期号
263	provide	v	5	cet4 cet6 ky toefl zk gk	vt. 规定；提供；准备；装备
272	power	n	5	cet4 ky ielts gk	n. 能力；力量；功率；幂；势力；政权
277	line	n	5	cet4 cet6 ky ielts zk gk	n. 绳；排；路线，航线
278	political	j	5	cet4 cet6 ky ielts gk	adj. 政治的；党派的
284	lose	v	5	cet4 cet6 ky zk gk	vt. 使沉溺于；浪费；遗失；使迷路；错过
285	however	r	5	cet4 ky zk gk	adv. 无论如何；不管怎样
288	law	n	5	cet4 cet6 ky ielts zk gk	n. 法律；法学；诉讼；法治；司法界；规律
293	include	v	5	cet4 cet6 ky zk gk	vt. 包含，包括
294	continue	v	5	cet4 cet6 ky zk gk	vi. 仍旧，连续；继续，延续
296	later	r	5	cet4 cet6 ky gk	adv. 随后；稍后；后来
297	community	n	5	cet4 cet6 ky toefl ielts	n. 社区；团体；共同体；群落
303	least	r	5	cet4 cet6 ky ielts zk gk	adj. 最小的；最少的（little的最高级）
304	president	n	5	cet4 cet6 ky zk gk	n. 总统；校长；董事长
306	real	j	5	cet4 cet6 ky zk gk	adj. 真实的；实在的；实际的
308	team	n	5	cet4 cet6 ky toefl ielts zk gk	n. 队；组
313	kid	n	4	cet4 ky zk gk	n. 小孩；小山羊
319	lead	v	2	cet4 ky toefl zk gk	n. 铅；领导；导线；榜样；石墨
320	social	j	5	cet4 cet6 ky ielts zk gk	adj. 社会的，社交的；群居的
326	follow	v	5	cet4 cet6 ky zk gk	vt. 跟随；追求；遵循；密切注意
333	create	v	5	cet4 cet6 ky ielts zk gk	vt. 造成；创造，创作
334	public	j	5	cet4 cet6 ky ielts zk gk	adj. 公用的；公众的；公立的；政府的
339	level	n	5	cet4 cet6 ky ielts zk gk	n. 水平；水平面；标准
340	allow	v	5	cet4 ky zk gk	vt. 允许；认可；给予
341	add	v	5	cet4 ky zk gk	vi. 加；增加；加起来；做加法
347	art	n	5	cet4 ky ielts zk gk	n. 艺术；美术；艺术品
